family,run_name,seed,best_epoch,total_epochs,best_metrics.test/accuracy,best_metrics.test/f1,best_metrics.test/mcc,best_metrics.test/pr_auc,best_metrics.test/precision,best_metrics.test/recall,best_metrics.test/roc_auc,best_metrics.val/accuracy,best_metrics.val/f1,best_metrics.val/mcc,best_metrics.val/pr_auc,best_metrics.val/precision,best_metrics.val/recall,best_metrics.val/roc_auc,best_metrics.train/loss,last_metrics.train/loss,parameter_count,benchmark.latency_mean_seconds,benchmark.latency_std_seconds,benchmark.peak_memory_bytes
MLP-reconstruction,001-dims-3240-1728,42,50,210,0.6434967,0.7179136,0.29129428,0.8280477,0.61971164,0.85309905,0.77022994,0.6373389,0.71360254,0.27779815,0.8321533,0.61513543,0.84960145,0.7690319,0.0015405256,0.00047164355,11202408,0.0013328479,0.000103587,12960
MLP-reconstruction,001-dims-3240-1728,43,160,210,0.70509106,0.72132754,0.40821248,0.83156633,0.7249425,0.7177485,0.78168243,0.70529455,0.7217253,0.4085563,0.83081037,0.72483385,0.71864325,0.7773287,0.0009003331,0.00048031044,11202408,0.001325314,0.00010651507,12960
MLP-reconstruction,001-dims-3240-1728,44,20,210,0.63251007,0.71817154,0.27525404,0.81979287,0.6063746,0.8805108,0.76262707,0.62777925,0.71355814,0.26279598,0.82236177,0.60393304,0.8718074,0.76247346,0.002508399,0.00047004365,11202408,0.0013150504,9.41767e-05,12960
MLP-reconstruction,002-dims-3240-864,42,190,210,0.6849777,0.74101204,0.37358996,0.8609737,0.6583054,0.84748656,0.81059384,0.6799031,0.7371599,0.36288422,0.86214066,0.6542875,0.84407026,0.80973786,0.014431476,0.0142077375,5602824,0.00039392998,5.4318272e-05,12960
MLP-reconstruction,002-dims-3240-864,43,200,210,0.6966564,0.73897344,0.39103237,0.86102,0.68119127,0.80746704,0.8085065,0.68820834,0.7321641,0.37363955,0.86136514,0.6739636,0.8013665,0.8060789,0.014328955,0.014214043,5602824,0.00038887886,5.369321e-05,12960
MLP-reconstruction,002-dims-3240-864,44,200,210,0.69176865,0.7363475,0.38149664,0.8588852,0.67537665,0.8094192,0.8058931,0.6855697,0.73142433,0.36870784,0.85943556,0.6700968,0.8051082,0.80389804,0.014230051,0.01423275,5602824,0.00036612345,5.967966e-05,12960
MLP-reconstruction,003-dims-3240-1728-864,42,210,210,0.767983,0.77895,0.5351201,0.8905596,0.7894253,0.768749,0.85461146,0.77255815,0.78269136,0.54457086,0.892192,0.79558057,0.7702131,0.85316783,0.006947553,0.006947553,14190984,0.0017321729,0.00012343827,12960
MLP-reconstruction,003-dims-3240-1728-864,43,200,210,0.7476102,0.76392764,0.492844,0.8813893,0.75996137,0.7679356,0.8421262,0.74751276,0.7638658,0.4926403,0.8820531,0.75983906,0.7679356,0.8397749,0.007030249,0.0069446177,14190984,0.0017302987,0.00012416631,12960
MLP-reconstruction,003-dims-3240-1728-864,44,210,210,0.7620139,0.777661,0.5217305,0.8896464,0.77272725,0.7826582,0.8536941,0.76654553,0.7809392,0.5310735,0.8908208,0.77938914,0.7824955,0.8522944,0.005698241,0.005698241,14190984,0.001721411,0.00011179321,12960
MLP-reconstruction,004-dims-3240-432,42,190,210,0.77529305,0.7808849,0.55254,0.8985076,0.8109505,0.7529689,0.8554186,0.7745912,0.780691,0.55082065,0.8977821,0.8088428,0.75443304,0.854643,0.04976548,0.049427602,2803032,0.00015900939,8.51599e-06,12960
